date,store_id,cat_id,sales
2011-01-29,TX_1,FOODS,3950.35
2011-01-30,TX_1,FOODS,3844.97
2011-01-31,TX_1,FOODS,2888.03
2011-02-01,TX_1,FOODS,3631.28
2011-02-02,TX_1,FOODS,3072.18
2011-02-03,TX_1,FOODS,4827.67
2011-02-04,TX_1,FOODS,2865.66
2011-02-05,TX_1,FOODS,4446.09
2011-02-06,TX_1,FOODS,4991.76
2011-02-07,TX_1,FOODS,3551.25
2011-02-08,TX_1,FOODS,2690.66
2011-02-09,TX_1,FOODS,3602.84
2011-02-10,TX_1,FOODS,3233.29
2011-02-11,TX_1,FOODS,3696.21
2011-02-12,TX_1,FOODS,4803.05
2011-02-13,TX_1,FOODS,5817.36
2011-02-14,TX_1,FOODS,3271.07
2011-02-15,TX_1,FOODS,3859.7
2011-02-16,TX_1,FOODS,3210.92
2011-02-17,TX_1,FOODS,2965.81
2011-02-18,TX_1,FOODS,3186.52
2011-02-19,TX_1,FOODS,3965.15
2011-02-20,TX_1,FOODS,4145.67
2011-02-21,TX_1,FOODS,3224.6
2011-02-22,TX_1,FOODS,2893.82
2011-02-23,TX_1,FOODS,2580.78
2011-02-24,TX_1,FOODS,3083.86
2011-02-25,TX_1,FOODS,3013.17
2011-02-26,TX_1,FOODS,3803.96
2011-02-27,TX_1,FOODS,4289.93
2011-02-28,TX_1,FOODS,3161.71
2011-03-01,TX_1,FOODS,3199.07
2011-03-02,TX_1,FOODS,3113.6
2011-03-03,TX_1,FOODS,3335.43
2011-03-04,TX_1,FOODS,2973.72
2011-03-05,TX_1,FOODS,4587.39
2011-03-06,TX_1,FOODS,5018.7
2011-03-07,TX_1,FOODS,4076.49
2011-03-08,TX_1,FOODS,3290.18
2011-03-09,TX_1,FOODS,3846.26
2011-03-10,TX_1,FOODS,3030.62
2011-03-11,TX_1,FOODS,3307.94
2011-03-12,TX_1,FOODS,4870.73
2011-03-13,TX_1,FOODS,4889.51
2011-03-14,TX_1,FOODS,3892.37
2011-03-15,TX_1,FOODS,4377.82
2011-03-16,TX_1,FOODS,3225.75
2011-03-17,TX_1,FOODS,3487.95
2011-03-18,TX_1,FOODS,3552.71
2011-03-19,TX_1,FOODS,3926.72
2011-03-20,TX_1,FOODS,4366.33
2011-03-21,TX_1,FOODS,3028.0
2011-03-22,TX_1,FOODS,2800.49
2011-03-23,TX_1,FOODS,2716.85
2011-03-24,TX_1,FOODS,2879.23
2011-03-25,TX_1,FOODS,2915.94
2011-03-26,TX_1,FOODS,3774.77
2011-03-27,TX_1,FOODS,4428.66
2011-03-28,TX_1,FOODS,2898.23
2011-03-29,TX_1,FOODS,2703.51
2011-03-30,TX_1,FOODS,2694.68
2011-03-31,TX_1,FOODS,2671.67
2011-04-01,TX_1,FOODS,4154.01
2011-04-02,TX_1,FOODS,4189.61
2011-04-03,TX_1,FOODS,4789.81
2011-04-04,TX_1,FOODS,3337.22
2011-04-05,TX_1,FOODS,3983.45
2011-04-06,TX_1,FOODS,3628.76
2011-04-07,TX_1,FOODS,3914.32
2011-04-08,TX_1,FOODS,3584.55
2011-04-09,TX_1,FOODS,5022.85
2011-04-10,TX_1,FOODS,4903.23
2011-04-11,TX_1,FOODS,4055.29
2011-04-12,TX_1,FOODS,4296.46
2011-04-13,TX_1,FOODS,3858.9
2011-04-14,TX_1,FOODS,3163.74
2011-04-15,TX_1,FOODS,4008.39
2011-04-16,TX_1,FOODS,4488.14
2011-04-17,TX_1,FOODS,4508.33
2011-04-18,TX_1,FOODS,3300.54
2011-04-19,TX_1,FOODS,3091.63
2011-04-20,TX_1,FOODS,2843.33
2011-04-21,TX_1,FOODS,2964.78
2011-04-22,TX_1,FOODS,3458.35
2011-04-23,TX_1,FOODS,4293.11
2011-04-24,TX_1,FOODS,4079.7
2011-04-25,TX_1,FOODS,2749.95
2011-04-26,TX_1,FOODS,2659.14
2011-04-27,TX_1,FOODS,2425.32
2011-04-28,TX_1,FOODS,2132.04
2011-04-29,TX_1,FOODS,2849.33
2011-04-30,TX_1,FOODS,3561.22
2011-05-01,TX_1,FOODS,4933.17
2011-05-02,TX_1,FOODS,3043.98
2011-05-03,TX_1,FOODS,3682.08
2011-05-04,TX_1,FOODS,2680.66
2011-05-05,TX_1,FOODS,3502.48
2011-05-06,TX_1,FOODS,5524.79
2011-05-07,TX_1,FOODS,4693.59
2011-05-08,TX_1,FOODS,3548.13
2011-05-09,TX_1,FOODS,4031.75
2011-05-10,TX_1,FOODS,3560.05
2011-05-11,TX_1,FOODS,3061.04
2011-05-12,TX_1,FOODS,3407.58
2011-05-13,TX_1,FOODS,4224.42
2011-05-14,TX_1,FOODS,4077.11
2011-05-15,TX_1,FOODS,5071.82
2011-05-16,TX_1,FOODS,3647.55
2011-05-17,TX_1,FOODS,3348.94
2011-05-18,TX_1,FOODS,2669.4
2011-05-19,TX_1,FOODS,2845.08
2011-05-20,TX_1,FOODS,3183.92
2011-05-21,TX_1,FOODS,3768.73
2011-05-22,TX_1,FOODS,4008.41
2011-05-23,TX_1,FOODS,2904.74
2011-05-24,TX_1,FOODS,2528.96
2011-05-25,TX_1,FOODS,2951.85
2011-05-26,TX_1,FOODS,2875.64
2011-05-27,TX_1,FOODS,2889.56
2011-05-28,TX_1,FOODS,3637.92
2011-05-29,TX_1,FOODS,3751.49
2011-05-30,TX_1,FOODS,3173.31
2011-05-31,TX_1,FOODS,2686.63
2011-06-01,TX_1,FOODS,4003.09
2011-06-02,TX_1,FOODS,3315.33
2011-06-03,TX_1,FOODS,4133.83
2011-06-04,TX_1,FOODS,4114.05
2011-06-05,TX_1,FOODS,4810.4800000000005
2011-06-06,TX_1,FOODS,4176.95
2011-06-07,TX_1,FOODS,4304.93
2011-06-08,TX_1,FOODS,3420.66
2011-06-09,TX_1,FOODS,3994.77
2011-06-10,TX_1,FOODS,3702.69
2011-06-11,TX_1,FOODS,4695.8
2011-06-12,TX_1,FOODS,5132.67
2011-06-13,TX_1,FOODS,4229.35
2011-06-14,TX_1,FOODS,3683.54
2011-06-15,TX_1,FOODS,4100.66
2011-06-16,TX_1,FOODS,3380.37
2011-06-17,TX_1,FOODS,3651.55
2011-06-18,TX_1,FOODS,4397.45
2011-06-19,TX_1,FOODS,4393.87
2011-06-20,TX_1,FOODS,3685.88
2011-06-21,TX_1,FOODS,3147.49
2011-06-22,TX_1,FOODS,2456.27
2011-06-23,TX_1,FOODS,3326.29
2011-06-24,TX_1,FOODS,3415.54
2011-06-25,TX_1,FOODS,3961.57
2011-06-26,TX_1,FOODS,4250.31
2011-06-27,TX_1,FOODS,3423.76
2011-06-28,TX_1,FOODS,2948.85
2011-06-29,TX_1,FOODS,2690.51
2011-06-30,TX_1,FOODS,2868.87
2011-07-01,TX_1,FOODS,4557.6
2011-07-02,TX_1,FOODS,4342.95
2011-07-03,TX_1,FOODS,4707.08
2011-07-04,TX_1,FOODS,3622.65
2011-07-05,TX_1,FOODS,3916.08
2011-07-06,TX_1,FOODS,4304.63
2011-07-07,TX_1,FOODS,4463.17
2011-07-08,TX_1,FOODS,3800.71
2011-07-09,TX_1,FOODS,4834.93
2011-07-10,TX_1,FOODS,4613.95
2011-07-11,TX_1,FOODS,4641.58
2011-07-12,TX_1,FOODS,4314.38
2011-07-13,TX_1,FOODS,4740.56
2011-07-14,TX_1,FOODS,3473.97
2011-07-15,TX_1,FOODS,4862.83
2011-07-16,TX_1,FOODS,4789.17
2011-07-17,TX_1,FOODS,5066.0
2011-07-18,TX_1,FOODS,3504.01
2011-07-19,TX_1,FOODS,3325.34
2011-07-20,TX_1,FOODS,3155.4
2011-07-21,TX_1,FOODS,3427.86
2011-07-22,TX_1,FOODS,3711.09
2011-07-23,TX_1,FOODS,4284.99
2011-07-24,TX_1,FOODS,4416.85
2011-07-25,TX_1,FOODS,3406.91
2011-07-26,TX_1,FOODS,3310.44
2011-07-27,TX_1,FOODS,2989.43
2011-07-28,TX_1,FOODS,3010.18
